term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;fr_FR;fr_FR_description
Feedback Ratings;;no;yes;no;;Feedback Ratings;;Notations du feedback;
Feedback from;;no;yes;no;;Feedback from;;Feedback offert par;
Feedback insights;;no;yes;no;;Feedback insights;;Feedbacks;
Feedback note;;no;yes;no;;Feedback note;;Note de feedback;
Feedback notes;;no;yes;no;;Feedback notes;;Notes de feedback;
Feedback rating;;no;yes;no;;Feedback rating;;Notation de feedback;
Feedback received;;no;yes;no;;Feedback received;;Feedback reçu;
Feedback request;;no;yes;no;;Feedback request;;Demande de feedback;
Feedback requested;;no;yes;no;;Feedback requested;;Feedback demandé;
Feedback requests;;no;yes;no;;Feedback requests;;Demandes de feedback;
Feedback sent;;no;yes;no;;Feedback sent;;Feedback envoyé;
Feedback sent to;;no;yes;no;;Feedback sent to;;Feedback envoyé à;
Female;;no;yes;no;;Female;;Femme;
Field;;no;yes;no;;Field;;Champ;
Field name;;no;yes;no;;Field name;;Nom du champ;
Fields;;no;yes;no;;Fields;;Champs;
Fields used;;no;yes;no;;Fields used;;Champs utilisés;
File name;;no;yes;no;;File name;;Nom du fichier;
File upload;;no;yes;no;;File upload;;Chargement de fichier;
Fill in the necessary details;;no;yes;no;;Fill in the necessary details;;Renseignez les informations nécessaires;
Filter;;no;yes;no;;Filter;;Filtre;
Filters;;no;yes;no;;Filters;;Filtres;
Final Validation;;no;yes;no;;Final Validation;;Validation finale;
Final validation;;no;yes;no;;Final validation;;Validation finale;
Fixed;;no;yes;no;;Fixed;;Fixe;
For managers;;no;yes;no;;For managers;;Pour les managers;
For workers;;no;yes;no;;For workers;;Pour les employé(e)s;
Formatting;;no;yes;no;;Formatting;;Formatage;
Forms;;no;yes;no;;Forms;;Formulaires;
Formula;;no;yes;no;;Formula;;Formule;
From;;no;yes;no;;From;;De;
Full name;;no;yes;no;;Full name;;Nom complet;
Functions;;no;yes;no;;Functions;;Fonctions;
Gender;;no;yes;no;;Gender;;Sexe;
General;;no;yes;no;;General;;Généralités;
General information;;no;yes;no;;General information;;Informations générales;
Generate;;no;yes;no;;Generate;;Générer;
Generate PDF;;no;yes;no;;Generate PDF;;Générer le PDF;
Generated;;no;yes;no;;Generated;;Généré;
Generation date;;no;yes;no;;Generation date;;Date de génération;
