term;description;casesensitive;translatable;forbidden;tags;en-US;en-US_description;en-GB;en-GB_description
End date;;no;yes;no;;End date;;End date;
Endorsed;;no;yes;no;;Endorsed;;Endorsed;
Enter;;no;yes;no;;Enter;;Enter;
Enter a name;;no;yes;no;;Enter a name;;Enter a name;
Enter text;;no;yes;no;;Enter text;;Enter text;
Entities;;no;yes;no;;Entities;;Entities;
Entities & fields;;no;yes;no;;Entities & fields;;Entities & fields;
Entity;;no;yes;no;;Entity;;Entity;
Entity details;;no;yes;no;;Entity details;;Entity details;
Entity enum;;no;yes;no;;Entity enum;;Entity enum;
Entity name;;no;yes;no;;Entity name;;Entity name;
Enum;;no;yes;no;;Enum;;Enum;
Equal to;;no;yes;no;;Equal to;;Equal to;
Equity;;no;yes;no;;Equity;;Equity;
Error;;no;yes;no;;Error;;Error;
Errors;;no;yes;no;;Errors;;Errors;
Evaluation section;;no;yes;no;;Evaluation section;;Evaluation section;
Examples;;no;yes;no;;Examples;;Examples;
Exchange Rates;;no;yes;no;;Exchange Rates;;Exchange Rates;
Exchange rate;;no;yes;no;;Exchange rate;;Exchange rate;
Exchange rate type;;no;yes;no;;Exchange rate type;;Exchange rate type;
Exchange rates;;no;yes;no;;Exchange rates;;Exchange rates;
Exclude;;no;yes;no;;Exclude;;Exclude;
Exclude individuals;;no;yes;no;;Exclude individuals;;Exclude individuals;
Excluded;;no;yes;no;;Excluded;;Excluded;
Exit;;no;yes;no;;Exit;;Exit;
Exit without saving;;no;yes;no;;Exit without saving;;Exit without saving;
Expand;;no;yes;no;;Expand;;Expand;
Experience;;no;yes;no;;Experience;;Experience;
Export;;no;yes;no;;Export;;Export;
Expression;;no;yes;no;;Expression;;Expression;
Expression formula;;no;yes;no;;Expression formula;;Expression formula;
External;;no;yes;no;;External;;External;
Failed;;no;yes;no;;Failed;;Failed;
Favorite;;no;yes;no;;Favorite;;Favourite;
Favorite feedback;;no;yes;no;;Favorite feedback;;Favourite feedback;
Favorites;;no;yes;no;;Favorites;;Favourites;
Feature;;no;yes;no;;Feature;;Feature;
Feature Enablement;;no;yes;no;;Feature Enablement;;Feature Enablement;
Feature enablement;;no;yes;no;;Feature enablement;;Feature enablement;
Features;;no;yes;no;;Features;;Features;
Feedback;;no;yes;no;;Feedback;;Feedback;
Feedback Ratings;;no;yes;no;;Feedback Ratings;;Feedback Ratings;
Feedback from;;no;yes;no;;Feedback from;;Feedback from;
Feedback insights;;no;yes;no;;Feedback insights;;Feedback insights;
Feedback note;;no;yes;no;;Feedback note;;Feedback note;
Feedback notes;;no;yes;no;;Feedback notes;;Feedback notes;
Feedback rating;;no;yes;no;;Feedback rating;;Feedback rating;
Feedback received;;no;yes;no;;Feedback received;;Feedback received;
Feedback request;;no;yes;no;;Feedback request;;Feedback request;
Feedback requested;;no;yes;no;;Feedback requested;;Feedback requested;
Feedback requests;;no;yes;no;;Feedback requests;;Feedback requests;
Feedback sent;;no;yes;no;;Feedback sent;;Feedback sent;
Feedback sent to;;no;yes;no;;Feedback sent to;;Feedback sent to;
Female;;no;yes;no;;Female;;Female;
Field;;no;yes;no;;Field;;Field;
Field name;;no;yes;no;;Field name;;Field name;
Fields;;no;yes;no;;Fields;;Fields;
Fields used;;no;yes;no;;Fields used;;Fields used;
File name;;no;yes;no;;File name;;File name;
File upload;;no;yes;no;;File upload;;File upload;
Fill in the necessary details;;no;yes;no;;Fill in the necessary details;;Fill in the necessary details;
Filter;;no;yes;no;;Filter;;Filter;
Filters;;no;yes;no;;Filters;;Filters;
Final;;no;yes;no;;Final;;Final;
Final Validation;;no;yes;no;;Final Validation;;Final Validation;
Final validation;;no;yes;no;;Final validation;;Final validation;
Fixed;;no;yes;no;;Fixed;;Fixed;
For managers;;no;yes;no;;For managers;;For managers;
For workers;;no;yes;no;;For workers;;For workers;
Formatting;;no;yes;no;;Formatting;;Formatting;
Forms;;no;yes;no;;Forms;;Forms;
Formula;;no;yes;no;;Formula;;Formula;
From;;no;yes;no;;From;;From;
Full name;;no;yes;no;;Full name;;Full name;
Functions;;no;yes;no;;Functions;;Functions;
Gender;;no;yes;no;;Gender;;Gender;
General;;no;yes;no;;General;;General;
General information;;no;yes;no;;General information;;General information;
Generate;;no;yes;no;;Generate;;Generate;
Generate PDF;;no;yes;no;;Generate PDF;;Generate PDF;
Generated;;no;yes;no;;Generated;;Generated;
Generation date;;no;yes;no;;Generation date;;Generation date;
Get started by creating one;;no;yes;no;;Get started by creating one;;Get started by creating one;
Give;;no;yes;no;;Give;;Give;
Give feedback;;no;yes;no;;Give feedback;;Give feedback;
Global;;no;yes;no;;Global;;Global;
Global currency;;no;yes;no;;Global currency;;Global currency;
Global worker category;;no;yes;no;;Global worker category;;Global worker category;
Go to feedback;;no;yes;no;;Go to feedback;;Go to feedback;
Goal;;no;yes;no;;Goal;;Goal;
Goal Achievement;;no;yes;no;;Goal Achievement;;Goal Achievement;
Goal Alignment;;no;yes;no;;Goal Alignment;;Goal Alignment;
Goal Details;;no;yes;no;;Goal Details;;Goal Details;
Goal ID;;no;yes;no;;Goal ID;;Goal ID;
Goal Overview;;no;yes;no;;Goal Overview;;Goal Overview;
Goal Plan;;no;yes;no;;Goal Plan;;Goal Plan;
Goal Plans;;no;yes;no;;Goal Plans;;Goal Plans;
Goal Status;;no;yes;no;;Goal Status;;Goal Status;
Goal Tag Libraries;;no;yes;no;;Goal Tag Libraries;;Goal Tag Libraries;
Goal Types;;no;yes;no;;Goal Types;;Goal Types;
Goal achievement;;no;yes;no;;Goal achievement;;Goal achievement;
Goal alignment;;no;yes;no;;Goal alignment;;Goal alignment;
Goal creator;;no;yes;no;;Goal creator;;Goal creator;
Goal details;;no;yes;no;;Goal details;;Goal details;
Goal name;;no;yes;no;;Goal name;;Goal name;
Goal overview;;no;yes;no;;Goal overview;;Goal overview;
Goal owner;;no;yes;no;;Goal owner;;Goal owner;
Goal owner worker ID;;no;yes;no;;Goal owner worker ID;;Goal owner worker ID;
Goal period;;no;yes;no;;Goal period;;Goal period;
Goal plan;;no;yes;no;;Goal plan;;Goal plan;
Goal plans;;no;yes;no;;Goal plans;;Goal plans;
Goal priority;;no;yes;no;;Goal priority;;Goal priority;
Goal progress;;no;yes;no;;Goal progress;;Goal progress;
Goal status;;no;yes;no;;Goal status;;Goal status;
Goal tags;;no;yes;no;;Goal tags;;Goal tags;
Goal title;;no;yes;no;;Goal title;;Goal title;
Goal tracking status;;no;yes;no;;Goal tracking status;;Goal tracking status;
Goal type;;no;yes;no;;Goal type;;Goal type;
Goal type weight;;no;yes;no;;Goal type weight;;Goal type weight;
Goal types;;no;yes;no;;Goal types;;Goal types;
Goal weight;;no;yes;no;;Goal weight;;Goal weight;
Goal workflow;;no;yes;no;;Goal workflow;;Goal workflow;
Goals;;no;yes;no;;Goals;;Goals;
Goals aligned with this goal;;no;yes;no;;Goals aligned with this goal;;Goals aligned with this goal;
Grade;;no;yes;no;;Grade;;Grade;
Grant date;;no;yes;no;;Grant date;;Grant date;
Grant proxy access;;no;yes;no;;Grant proxy access;;Grant proxy access;
Grants;;no;yes;no;;Grants;;Grants;
Greater than;;no;yes;no;;Greater than;;Greater than;
Greater than or equal to;;no;yes;no;;Greater than or equal to;;Greater than or equal to;
Group name;;no;yes;no;;Group name;;Group name;
Groups;;no;yes;no;;Groups;;Groups;
Guaranteed amount;;no;yes;no;;Guaranteed amount;;Guaranteed amount;
Guaranteed amount rule;;no;yes;no;;Guaranteed amount rule;;Guaranteed amount rule;
